time,Latitude,Longitude,PM2.5
0:22:31:597,35.246047,126.873374,29
0:22:33:646,35.246047,126.873374,29
0:22:35:694,35.246047,126.873374,28
0:22:37:744,35.246047,126.873374,28
0:22:39:793,35.246047,126.873374,28
0:22:41:843,35.246047,126.873374,28
0:22:43:892,35.246047,126.873374,28
0:22:45:941,35.246047,126.873374,28
0:22:47:991,35.246047,126.873374,28
0:22:50:40,35.246047,126.873374,27
0:22:52:90,35.246047,126.873374,27
0:22:54:138,35.246047,126.873374,27
0:22:56:187,35.246047,126.873374,27
0:22:58:236,35.246047,126.873374,27
0:23:0:284,35.246047,126.873374,26
0:23:2:333,35.246047,126.873374,26
0:23:4:382,35.246047,126.873374,26
0:23:6:431,35.246047,126.873374,26
0:23:8:480,35.246047,126.873374,26
0:23:10:529,35.246047,126.873374,26
0:23:12:579,35.246047,126.873374,26
0:23:14:628,35.246047,126.873374,26
0:23:16:677,35.246047,126.873374,26
0:23:18:726,35.246047,126.873374,26
0:23:20:776,35.246047,126.873374,26
0:23:22:824,35.246047,126.873374,26
0:23:24:874,35.246047,126.873374,26
0:23:26:923,35.246047,126.873374,26
0:23:28:972,35.246047,126.873374,25
0:23:31:21,35.246047,126.873374,25
0:23:33:71,35.246047,126.873374,25
0:23:35:119,35.246047,126.873374,26
0:23:37:168,35.246047,126.873374,26
0:23:39:217,35.246047,126.873374,26
